desc,model,weighted,train_f1_micro,train_f1_macro,train_f1_weighted,train_accuracy,test_f1_micro,test_f1_macro,test_f1_weighted,test_accuracy,time,mode,hidden_size,input_size,layers,train_loss,test_loss
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.9,0.8373363626901777,0.8916067400748965,0.9,0.786046511627907,0.662935035075235,0.7644786149508146,0.786046511627907,1604414301.7374604,hidden,128.0,32.0,1.0,0.7682056427001953,0.8846914172172546
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8558139534883721,0.7487098250393135,0.8283018680700946,0.8558139534883721,0.7953488372093023,0.6844268319274049,0.7700889622542455,0.7953488372093023,1604414311.1535318,hidden,128.0,32.0,1.0,0.8587424159049988,0.9242814779281616
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.9290697674418604,0.897543608186525,0.9264322353912778,0.9290697674418604,0.8093023255813954,0.7246473656515497,0.8007850050547335,0.8093023255813954,1604414323.641065,hidden,256.0,32.0,1.0,0.412847638130188,0.6632018089294434
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.9465116279069767,0.9173125196409291,0.9458392355807602,0.9465116279069767,0.772093023255814,0.6820644043588796,0.7648932041490782,0.772093023255814,1604414336.441167,hidden,256.0,32.0,1.0,0.5295612215995789,0.7262832522392273
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.9081395348837209,0.8603204593175335,0.8996141636324032,0.9081395348837209,0.7953488372093023,0.6980210265924551,0.77592555838403,0.7953488372093023,1604414355.604303,hidden,256.0,32.0,1.0,0.6280734539031982,0.7676224112510681
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8313953488372093,0.7181008521731749,0.8104909671167748,0.8313953488372093,0.7627906976744185,0.612324297188755,0.7316265060240964,0.7627906976744186,1604414381.1211433,hidden,128.0,32.0,1.0,0.9218303561210632,0.9896286129951477
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.7953488372093023,0.6145171245977697,0.7466910306463944,0.7953488372093023,0.7627906976744185,0.5760496386054422,0.7156382000474608,0.7627906976744186,1604414387.4502068,hidden,128.0,32.0,1.0,1.0620142221450806,1.0951834917068481
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.7337209302325581,0.4749079121841644,0.6541293705673634,0.7337209302325581,0.7069767441860465,0.4335594663638944,0.6216765573738028,0.7069767441860465,1604414396.8267088,hidden,128.0,32.0,1.0,1.1550626754760742,1.1735706329345703
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8372093023255814,0.7409381529147232,0.8175185885179701,0.8372093023255814,0.7534883720930233,0.60281105166889,0.7217086182620703,0.7534883720930232,1604414409.3787322,hidden,256.0,32.0,1.0,0.7348408102989197,0.8719103932380676
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.805813953488372,0.6503511459674698,0.7674075959821841,0.8058139534883721,0.7348837209302326,0.55066848897891,0.6993355251286425,0.7348837209302326,1604414422.2167299,hidden,256.0,32.0,1.0,0.8841173052787781,0.943491518497467
